title,acting,performance,music,production,character,story,acting_performance_music,acting_performance_production,acting_performance_character,acting_performance_story,acting_music_production,acting_music_character,acting_music_story,acting_production_character,acting_production_story,acting_character_story,performance_music_production,performance_music_character,performance_music_story,performance_production_character,performance_production_story,performance_character_story,music_production_character,music_production_story,music_character_story,production_character_story,url,PRFID
고고다이노 - 과천,73.5,88.1,79.1,86.3,70.0,72.5,240.7,247.9,231.6,234.1,238.9,222.6,225.1,229.8,232.2,215.9,253.5,237.2,239.7,244.4,246.9,230.6,235.4,237.9,221.6,228.8,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008272,PF242973
전기수,70.3,70.0,93.3,78.2,70.0,96.2,233.6,218.5,210.3,236.5,241.8,233.6,259.8,218.5,244.7,236.5,241.5,233.3,259.5,218.2,244.4,236.2,241.5,267.7,259.5,244.4,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007639,PF242265
"뮤지컬 베어만 - 청주,세종",72.5,100.0,76.3,72.0,70.0,76.5,248.8,244.6,242.5,249.1,220.8,218.8,225.4,214.6,221.1,219.1,248.3,246.3,252.8,242.0,248.5,246.5,218.3,224.8,222.8,218.5,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23018688,PF231664
매직 판타지아 ,74.0,91.5,90.3,94.8,74.9,71.6,255.8,260.3,240.4,237.2,259.1,239.2,236.0,243.6,240.4,220.5,276.6,256.7,253.5,261.2,258.0,238.0,260.0,256.7,236.8,241.3,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007000,PF241347
라면에 파송송,77.5,83.7,80.5,82.7,70.0,72.7,241.8,243.9,231.2,233.9,240.8,228.1,230.8,230.3,233.0,220.2,246.9,234.2,236.9,236.4,239.1,226.4,233.3,236.0,223.3,225.4,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22004693,PF155520
아기돼지야 준비해 - 청주,75.1,81.6,79.7,78.9,70.0,94.5,236.5,235.7,226.7,251.2,233.8,224.9,249.3,224.1,248.5,239.6,240.3,231.3,255.8,230.5,255.0,246.1,228.7,253.1,244.2,243.4,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22004820,PF189888
이머시브 뮤지컬 ＇흔해빠진일＇,77.3,84.4,83.3,81.1,77.7,99.9,244.9,242.8,239.4,261.6,241.7,238.3,260.5,236.1,258.3,254.9,248.7,245.3,267.6,243.2,265.4,262.0,242.1,264.3,260.9,258.7,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=L0000091,PF243947
연남장 캬바레 - 캬바레쇼 '아이위시',77.2,72.9,85.0,79.5,72.2,71.7,235.1,229.6,222.3,221.8,241.7,234.4,233.9,228.9,228.4,221.1,237.4,230.1,229.6,224.6,224.1,216.8,236.7,236.2,228.9,223.4,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007986,PF242456
난타,73.8,91.9,74.8,98.6,70.0,77.3,240.5,264.3,235.7,243.0,247.2,218.6,225.9,242.5,249.8,221.2,265.3,236.6,244.0,260.5,267.8,239.2,243.4,250.7,222.1,246.0,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23012005,PF236349
이벤져스,70.0,70.0,84.4,85.0,100.0,82.0,224.4,225.0,240.0,222.0,239.4,254.4,236.4,255.0,236.9,252.0,239.4,254.4,236.4,255.0,236.9,252.0,269.4,251.3,266.4,266.9,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24002353,PF237601
