PRFID,PRFNM,PRFPDFROM,PRFPDTO,PRFCAST,PRFCREW,PRFRUNTIME,PRFAGE,ENTRPSNM,PCSEGUIDANCE,POSTER,RELATES,PLACEID,PLACENM,INFO URLS
PF246147,피터팬 [광주],2024.08.01,2024.08.31, , ,55분,24개월 이상, ,"전석 25,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF246147_240801_103141.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1105823')]",FC003589,롯데마트 [월드컵] (행복을 주는 가족극장),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF246147_240801_1031412.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF246147_240801_1031411.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF246147_240801_1031410.jpg']"
PF246133,아기 오리의 모험 [청주],2024.07.01,2024.08.31,"오혜미, 정효진, 박용희, 감창선","박소연, 김란, 오동환 등",40분,24개월 이상,펀펀한 뮤지컬컴퍼니,"전석 30,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF246133_240801_100237.gif,"[('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24009192')]",FC003652,오즈아트홀 (오즈아트홀),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF246133_240801_1002371.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF246133_240801_1002370.jpg']"
PF245889,인어공주 [창원],2024.08.03,2024.08.31, , ,45분,전체 관람가, ,"전석 20,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF245889_240729_101521.png,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1196262')]",FC002179,창원과학체험관 (다목적강당),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245889_240729_1015211.png', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245889_240729_1015210.png']"
PF245875,미운아기오리 [여수],2024.08.03,2024.09.08, ,임우현,45분,24개월 이상,(주)상상플레이스 [여순광점],"전석 12,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF245875_240726_174226.png,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1182749')]",FC003658,상상플레이스 여순광점(여수 웅천 트리마제벨마레 2305호) (상상플레이스 여순광점),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245875_240726_0542260.png']
PF245791,어린왕자 [부산],2024.08.02,2024.09.01, , ,50분,36개월 이상,극단 바라,"전석 30,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF245791_240726_094117.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/885672'), ('예스24', 'http://ticket.yes24.com/Perf/50481'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24010674'), ('쿠팡', 'https://trip.coupang.com/tp/products/30000010035050'), ('타임티켓', 'https://www.timeticket.co.kr/?number=5773')]",FC000255,초콜릿팩토리 (초콜릿팩토리),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245791_240726_0941170.jpg']
PF245687,늑대와 빨간모자 [부천],2024.08.01,2024.09.01,"현혜림, 최설아, 김민석",강민영,50분,전체 관람가,극단 천사의노래,"전석 18,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF245687_240724_131540.png,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/794283')]",FC002478,뉴코아소극장 [부천] (뉴코아소극장 [부천]),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245687_240724_0115400.png']
PF245668,셰프 [홍성],2024.08.10,2024.08.10, , ,1시간 20분,만 7세 이상, ,"전석 10,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF245668_240724_113716.jpg,"[('홍주문화회관', 'http://art.hongseong.go.kr/Program/program_view.html?p_idx=72')]",FC000445,홍주문화회관 (대공연장),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245668_240724_1137162.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245668_240724_1137161.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245668_240724_1137160.jpg']"
PF245665,아기돼지삼형제 & 개미와베짱이 [수원],2024.08.01,2024.08.11, , ,45분,24개월 이상, ,"전석 35,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF245665_240724_112910.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/748698')]",FC002698,광교레이크아트홀 (광교레이크아트홀),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245665_240724_1129100.jpg']
PF245289,"육영수, 그 시절의 아카시아 [대구]",2024.08.10,2024.08.11,"김효선, 신민호, 정다미, 문지수, 장원준, 양동혁, 장인혁 등","김재철, 이상수, 정명화 등",2시간 05분,만 13세 이상,"(주)뮤지컬컴퍼니에이, 디스뮤지컬","VIP석 100,000원, R석 80,000원, S석 60,000원, A석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF245289_240718_115655.gif,"[('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24010697')]",FC001337,천마아트센터 (그랜드홀),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245289_240718_1156551.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245289_240718_1156550.jpg']"
PF245269,셰프 [서울],2024.07.30,2024.08.31, , ,1시간 15분,36개월 이상, ,"VIP석 70,000원, R석 60,000원, S석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF245269_240718_104911.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/114948'), ('예스24', 'http://ticket.yes24.com/Perf/50492'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24010103')]",FC002631,허리우드극장 (구. 모두의극장) (셰프전용관),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245269_240718_1049110.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245269_240718_1049562.jpg']"
