PRFID,PRFNM,PRFPDFROM,PRFPDTO,PRFCAST,PRFCREW,PRFRUNTIME,PRFAGE,ENTRPSNM,PCSEGUIDANCE,POSTER,RELATES,PLACEID,PLACENM,INFO URLS,7DAYS RANK,30DAYS RANK,AVG RANK_DESC
PF238541,"15주년 기념공연, 영웅",2024.05.29,2024.08.11,"정성화, 양준모, 민우혁, 김도형, 서영주, 이정열, 최민철 등","윤홍선, 윤호진, 김민영 등",2시간 40분,만 7세 이상,(주)에이콤(ACOM),"VIP석 160,000원, R석 140,000원, S석 100,000원, A석 80,000원, B석 60,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF238541_240403_095518.gif,"[('세종문화회관', 'https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=35104&menuNo=200004'), ('위메프', 'https://ticket.wemakeprice.com/product/3000011985'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=P0003831')]",FC000020,세종문화회관 (세종대극장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF238541_240403_0955180.jpg'],10.714285714285714,6.033333333333333,23.800000000000004
PF241301,하데스타운 [서울],2024.07.12,2024.10.06,"조형균, 박강현, 김민석, 최정원, 최재림, 강홍석, 김선영 등","박소영, 한정림, 홍유선 등",2시간 35분,만 7세 이상,에스앤코(S&CO),"VIP석 170,000원, R석 140,000원, S석 110,000원, A석 80,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241301_240517_145643.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1196774'), ('예스24', 'http://ticket.yes24.com/Perf/49701'), ('위메프', 'https://ticket.wemakeprice.com/product/3000012185'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24006851'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=77897'), ('페이북', 'https://paybooc.co.kr/app/paybooc/Culture.do?mFocus=Culture&returnURL=https://ticket.paybooc.co.kr:447/Play/PlayDetail?playNum=70886')]",FC000012,샤롯데씨어터 (샤롯데씨어터),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241301_240517_0256430.jpg'],8.857142857142858,10.433333333333334,19.400000000000002
PF240002,프랑켄슈타인,2024.06.05,2024.08.25,"유준상, 신성록, 전동석, 박은태, 이해준, 고은성, 이지혜 등","엄홍현, 김지원, 왕용범 등",2시간 55분,만 13세 이상,(주)EMK뮤지컬컴퍼니,"VIP석 170,000원, R석 140,000원, S석 110,000원, A석 80,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF240002_240426_094626.gif,"[('멜론티켓', 'https://ticket.melon.com/performance/index.htm?prodId=209765'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24009024')]",FC000031,블루스퀘어 (신한카드홀(구. 인터파크홀)),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF240002_240426_0946270.jpg'],27.0,11.0,18.833333333333336
PF242052,베르사유의 장미,2024.07.16,2024.10.13,"옥주현, 김지우, 정유지, 이해준, 김성식, 고은성, 박민성 등","엄홍현, 김지원, 왕용범 등",2시간 30분,만 7세 이상,(주)EMK뮤지컬컴퍼니,"VIP석 170,000원, R석 140,000원, S석 110,000원, A석 80,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242052_240530_132555.gif,"[('멜론티켓', 'https://ticket.melon.com/performance/index.htm?prodId=209927'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007345')]",FC000014,충무아트센터 (대공연장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242052_240712_1119241.jpg'],11.714285714285714,13.4,16.433333333333337
PF239123,시카고 [서울],2024.06.07,2024.09.29,"최정원, 윤공주, 정선아, 아이비, 티파니 영, 민경아, 박건형 등", ,2시간 25분,만 13세 이상, ,"VIP석 160,000원, OP석 150,000원, R석 140,000원, S석 110,000원, A석 80,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF239123_240412_145134.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1123234'), ('위메프', 'https://ticket.wemakeprice.com/product/3000011918'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24005266'), ('신시컴퍼니', 'http://www.iseensee.com/Home/Perf/MakingDetail.aspx?IdPerf=1190')]",FC000011,디큐브링크아트센터 (디큐브씨어터),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF239123_240415_0814031.jpg'],15.571428571428571,14.346153846153847,15.487179487179489
PF243342,트루스토리 [대학로],2024.07.09,2024.08.11,"이승현, 이승준, 박경호, 조성필, 이동연, 이세헌, 김채승 등","김운기, 이희준, 이아람 등",1시간 40분,만 12세 이상, ,"전석 66,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243342_240619_142000.png,"[('티켓링크', 'http://www.ticketlink.co.kr/product/50618')]",FC001212,예그린씨어터 (예그린씨어터),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243342_240619_0220001.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243342_240619_0220000.jpg']",,17.666666666666668,12.166666666666668
PF240973,어쩌면 해피엔딩 [대학로],2024.06.18,2024.09.08,"정욱진, 홍지희, 윤은오, 박진주, 신재범, 장민제, 이시안 등","김동연, 주소연, 송희진 등",1시간 50분,만 13세 이상,(주)CJ ENM,"R석 77,000원, S석 55,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF240973_240513_151357.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1174706'), ('예스24', 'http://ticket.yes24.com/Perf/49543'), ('위메프', 'https://ticket.wemakeprice.com/product/3000012040'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24006741')]",FC001236,예스24 스테이지(구. DCF대명문화공장) (1관),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF240973_240513_0313570.jpg'],12.75,21.708333333333332,8.125000000000004
PF241497,젠틀맨스 가이드: 사랑과 살인편,2024.07.06,2024.10.20,"송원근, 김범, 손우현, 정산훈, 정문성, 이규형, 안세하 등","김영욱, 이성훈, 송한샘 등",2시간 30분,만 13세 이상,(주)쇼노트,"VIP석 150,000원, OP석 130,000원, R석 130,000원, S석 90,000원, A석 60,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241497_240522_104224.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1146704'), ('멜론티켓', 'https://ticket.melon.com/performance/index.htm?prodId=209919'), ('쇼노트', 'http://www.shownote.com/Ticket/Performance/Details?performanceId=365'), ('예스24', 'http://ticket.yes24.com/Perf/49795'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007239'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=77982')]",FC001370,광림아트센터 (BBCH홀),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241497_240522_0352481.jpg'],32.0,22.75862068965517,7.074712643678165
PF239896,미오 프라텔로 [대학로],2024.05.21,2024.10.27,"박규원, 이진혁, 박상혁, 성연, 김찬종, 박준형, 김이담 등","노재환, 박정인, 송은도 등",1시간 40분,만 13세 이상,(주)콘텐츠플래닝,"R석 77,000원, S석 55,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF239896_240807_142442.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1151567'), ('예스24', 'http://ticket.yes24.com/Perf/49881'), ('위메프', 'https://ticket.wemakeprice.com/product/3000011915'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24005912'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=77887'), ('페이북', 'https://paybooc.co.kr/app/paybooc/Culture.do?mFocus=Culture&returnURL=https://ticket.paybooc.co.kr:447/Play/PlayDetail?playNum=70884')]",FC003244,링크아트센터 (벅스홀),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF239896_240801_0119521.jpg'],27.0,22.842105263157894,6.991228070175442
PF241368,4월은 너의 거짓말,2024.06.28,2024.08.25,"이홍기, 윤소호, 김희재, 이봄소리, 정지소, 이재진, 김진욱 등","사카구치 리코, 엄홍현, 김지원 등",2시간 50분,만 7세 이상,(주)EMK뮤지컬컴퍼니,"OP석 150,000원, R석 150,000원, S석 110,000원, A석 70,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241368_240520_135016.jpg,"[('멜론티켓', 'https://ticket.melon.com/performance/index.htm?prodId=209858'), ('예스24', 'http://ticket.yes24.com/Perf/49726'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24006816')]",FC000001,예술의전당 [서울] (CJ 토월극장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241368_240701_0955321.jpg'],35.142857142857146,23.8,6.033333333333335
