PRFID,PRFNM,PRFPDFROM,PRFPDTO,D_DAY,PRFCAST,PRFCREW,PRFRUNTIME,PRFAGE,ENTRPSNM,PCSEGUIDANCE,POSTER,RELATES,PLACEID,PLACENM_x,INFO_URLS,7DAYS RANK,PLACENM_y,SI DO,GU GUN,ADRES,TELNO,RELATE URL,RESTAURANT,CAFE,STORE,NOLIBANG,PARK BARRIER,REST BARRIER,ELEV BARRIER,PARKINGLOT
PF247773,방귀쟁이 며느리 [울산 진장],2024.08.29,2024.09.29,28, , ,55분,전체 관람가, ,"전석 21,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF247773_240827_110414.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/266447')]",FC001666,레미어린이극장 [울산진장] (레미어린이극장 [울산진장]),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF247773_240827_1104143.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF247773_240827_1104142.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF247773_240827_1104141.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF247773_240827_1104140.jpg']",,,,,울산광역시 북구 진장유통로 64 (진장동),052-288-8799,http://www.reomusical.com/new/main/main.htm,,,,,,,,
PF247626,오즈의 마법사 [광주],2024.08.29,2024.09.29,28,"김슬기, 이가영, 김효경, 김호겸, 이영재", ,55분,전체 관람가,극단 지니,"전석 30,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF247626_240826_110859.png,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/263658')]",FC001678,레미어린이극장 [광주수완] (레미어린이극장 [광주수완]),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF247626_240828_0116495.png', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF247626_240828_0116494.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF247626_240828_0116493.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF247626_240828_0116492.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF247626_240828_0116491.jpg']",,,,,광주광역시 광산구 장신로 98 (장덕동),062-975-2860,http://www.reomusical.com/new/main/main.htm?CPC_REFERER=https%3A%2F%2Fsearch.naver.com%2Fsearch.naver%3Fwhere%3Dnexearch%26sm%3Dtop_sug.pre%26fbm%3D1%26acr%3D1%26acq%3D%2,,,,,,,,
PF247317,알라딘과 요술램프 [대전],2024.08.22,2024.09.22,21, , ,1시간,전체 관람가, ,"전석 16,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF247317_240820_110934.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/264422')]",FC001691,조이마루아트홀(복합문화공간 플랜에이) (조이마루아트홀(복합문화공간 플랜에이)),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF247317_240820_1109340.jpg'],,,,,대전광역시 유성구 엑스포로97번길 40 (도룡동),042-862-2221,https://plana2021.modoo.at/,,,,,,,,
PF247292,무지개랜드 [서울 금천],2024.08.22,2024.10.27,56, , ,55분,전체 관람가, ,"전석 16,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF247292_240820_101356.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/264373')]",FC001565,레미어린이극장 [금천] (레미어린이극장 [금천]),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF247292_240820_1013560.jpg'],,,,,서울특별시 금천구 두산로 71 (독산동),02-868-5961,http://www.reomusical.com/new/main/main.htm,,,,,,,,
PF247289,책먹는 여우 [김천],2024.09.01,2024.09.01,0, , ,55분,만 2세 이상, ,전석무료 ,http://www.kopis.or.kr/upload/pfmPoster/PF_PF247289_240820_100028.jpg,"[('티켓링크', 'http://www.ticketlink.co.kr/product/51582')]",FC003446,김천시립율곡도서관 (율곡홀 (다목적강당)),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF247289_240820_1000280.jpg'],,,,,경상북도 김천시 용전1로1길 17 (율곡동),054-421-0200,https://www.gcl.go.kr/#secondPage,,,,,,,,
PF247112,물드는 마을,2024.08.29,2024.09.01,0,"이현지, 이하림, 안희진, 이정진, 성기모, 김지호, 김소강 등","이규원, 송민희, 황원준 등",1시간 20분,전체 관람가,KT&G 상상유니브,"전석 30,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF247112_240816_114107.png,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1212270')]",FC000516,열린극장 (열린극장),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF247112_240816_1141074.png', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF247112_240816_1141073.png', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF247112_240816_1141072.png', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF247112_240816_1141071.png', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF247112_240816_1141070.png']",,,,,서울특별시 종로구 창경궁로 258-12 (명륜2가),02-743-6474, ,,,,,,,,
PF247068,5! 해피맨,2024.08.23,2024.09.08,7,"조남희, 민준호, 최오식, 윤성규, 유영민, 이대열, 김재한 등","강봉훈, 장태홍, 주원성 등",2시간 10분,만 7세 이상,씨케이아트웍스,"R석 77,000원, S석 66,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF247068_240816_095019.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1216250'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24011698'), ('티켓링크', 'http://www.ticketlink.co.kr/product/51526')]",FC001240,굿씨어터 (굿씨어터),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF247068_240816_0950190.jpg'],,,,,서울특별시 종로구 대학로 144 (혜화동),00-1800-7382, ,,,,,,,,
PF247018,와일드 와일드: 애프터파티,2024.08.16,2024.12.31,121,"김동희, 강천일, 이희중, 이윤제, 박도경, 정한샘, 한진욱 등","오준석, 최용진, 정휘경 등",1시간 15분,만 19세 이상,더블유투컴퍼니,"WILDEVENT석 125,000원, WILDWILD석 99,000원, WILD석 77,000원, R석 66,000원, 시야방해석 60,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF247018_240814_123905.gif,"[('타임티켓', 'https://www.timeticket.co.kr/?number=5743')]",FC000883,명보아트홀 (와일드와일드 전용관),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF247018_240814_1239050.jpg'],,,,,서울특별시 중구 마른내로 47 (초동),02-2274-2121,https://www.facebook.com/myungboart,,,,,,,,
PF246841,신데렐라 [부천],2024.08.31,2024.09.01,0, , ,55분,24개월 이상, ,"전석 30,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF246841_240812_144855.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1213323'), ('예스24', 'http://ticket.yes24.com/Perf/50623')]",FC001824,현대백화점 문화홀 [중동] (현대백화점 문화홀 [중동]),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF246841_240812_0248552.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF246841_240812_0248551.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF246841_240812_0248550.jpg']",,,,,경기도 부천시 원미구 길주로 180 (중동),032-623-3250,http://www.ehyundai.com/newCulture/CW/CW000001_V.do,,,,,,,,
PF246573,런던 레코드,2024.08.15,2024.12.28,118, ,"강다희, 이하연, 강나연",1시간 30분,전체 관람가,엠스테이지,"전석 60,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF246573_240808_100127.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/984039'), ('인터파크', 'https://tickets.interpark.com/goods/24010377')]",FC001535,엠스테이지(구.인사아트홀) (엠스테이지(구.인사아트홀)),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF246573_240808_1001270.jpg'],,,,,서울특별시 종로구 인사동길 34-1 (관훈동),02-2232-7952,https://www.samulnori.xyz/,,,,,,,,
