PRFID,PRFNM,PRFPDFROM,PRFPDTO,D_DAY,PRFCAST,PRFCREW,PRFRUNTIME,PRFAGE,ENTRPSNM,PCSEGUIDANCE,POSTER,RELATES,PLACEID,PLACENM,INFO_URLS,7DAYS RANK,30DAYS RANK,AVG RANK_DESC
PF241301,하데스타운 [서울],2024.07.12,2024.10.06,35,"조형균, 박강현, 김민석, 최정원, 최재림, 강홍석, 김선영 등","박소영, 한정림, 홍유선 등",2시간 35분,만 7세 이상,에스앤코(S&CO),"VIP석 170,000원, R석 140,000원, S석 110,000원, A석 80,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241301_240517_145643.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1196774'), ('예스24', 'http://ticket.yes24.com/Perf/49701'), ('위메프', 'https://ticket.wemakeprice.com/product/3000012185'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24006851'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=77897'), ('페이북', 'https://paybooc.co.kr/app/paybooc/Culture.do?mFocus=Culture&returnURL=https://ticket.paybooc.co.kr:447/Play/PlayDetail?playNum=70886')]",FC000012,샤롯데씨어터 (샤롯데씨어터),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241301_240517_0256430.jpg'],1.0,1.0,10.0
PF242052,베르사유의 장미,2024.07.16,2024.10.13,42,"옥주현, 김지우, 정유지, 이해준, 김성식, 고은성, 박민성 등","엄홍현, 김지원, 왕용범 등",2시간 30분,만 7세 이상,(주)EMK뮤지컬컴퍼니,"VIP석 170,000원, R석 140,000원, S석 110,000원, A석 80,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242052_240530_132555.gif,"[('멜론티켓', 'https://ticket.melon.com/performance/index.htm?prodId=209927'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007345')]",FC000014,충무아트센터 (대공연장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242052_240712_1119241.jpg'],3.0,2.0,9.0
PF243627,스파이,2024.08.06,2024.10.27,56,"성태준, 정동화, 원태민, 현석준, 이진우, 최병찬, 강정임 등","라현아, 박신혜, 한지안 등",2시간,만 13세 이상,미스틱컬처,"한줄기의빛석 70,000원, 스파이더맨인블랙석 60,000원, 로마의대체휴일석 50,000원, 미션임파서블드림석 40,000원, 티파니에서야참을석 30,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243627_240624_142345.gif,"[('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24009007'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=78045')]",FC000570,동국대학교 (이해랑예술극장),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243627_240624_0223451.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243627_240624_0223450.jpg']",,3.0,8.0
PF241497,젠틀맨스 가이드: 사랑과 살인편,2024.07.06,2024.10.20,49,"송원근, 김범, 손우현, 정산훈, 정문성, 이규형, 안세하 등","김영욱, 이성훈, 송한샘 등",2시간 30분,만 13세 이상,(주)쇼노트,"VIP석 150,000원, OP석 130,000원, R석 130,000원, S석 90,000원, A석 60,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241497_240522_104224.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1146704'), ('멜론티켓', 'https://ticket.melon.com/performance/index.htm?prodId=209919'), ('쇼노트', 'http://www.shownote.com/Ticket/Performance/Details?performanceId=365'), ('예스24', 'http://ticket.yes24.com/Perf/49795'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007239'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=77982')]",FC001370,광림아트센터 (BBCH홀),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241497_240522_0352481.jpg'],4.0,4.0,7.0
PF240973,어쩌면 해피엔딩 [대학로],2024.06.18,2024.09.08,7,"정욱진, 홍지희, 윤은오, 박진주, 신재범, 장민제, 이시안 등","김동연, 주소연, 송희진 등",1시간 50분,만 13세 이상,(주)CJ ENM,"R석 77,000원, S석 55,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF240973_240513_151357.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1174706'), ('예스24', 'http://ticket.yes24.com/Perf/49543'), ('위메프', 'https://ticket.wemakeprice.com/product/3000012040'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24006741')]",FC001236,예스24 스테이지(구. DCF대명문화공장) (1관),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF240973_240513_0313570.jpg'],,5.0,6.0
PF245145,경종수정실록 [대학로],2024.08.20,2024.11.10,70,"주민진, 박규원, 유승현, 김지온, 박준휘, 홍기범, 강찬 등","이성진, 성종완, 김은영 등",1시간 50분,만 13세 이상,(주)뉴프로덕션,"R석 70,000원, S석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF245145_240717_113737.gif,"[('나눔티켓', 'https://www.nanumticket.or.kr/pe/detail.html?p_marking=&p_new=&start2=0&page_no2=1&p_idx=12434'), ('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1210147'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24010138')]",FC000382,티오엠씨어터(구. 문화공간필링) (1관),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245145_240717_1137370.jpg'],7.0,6.0,5.0
PF242932,시데레우스,2024.07.24,2024.10.13,42,"이창용, 안재영, 김지철, 기세중, 정휘, 윤석호, 유낙원 등","신동은, 백승우, 이유정 등",1시간 40분,만 7세 이상,(주)랑,"R석 66,000원, S석 55,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242932_240613_112051.jpg,"[('BC페이북(BC플랫폼)', 'https://ticket.paybooc.co.kr:447/Play/PlayDetail?playNum=70935'), ('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1178225'), ('예스24', 'http://ticket.yes24.com/Perf/50004'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008243'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=78010')]",FC001459,플러스씨어터(구. 컬처스페이스 엔유 구. 쁘티첼 씨어터) (플러스씨어터(구. 컬처스페이스 엔유 구. 쁘티첼 씨어터)),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242932_240613_1120510.jpg'],2.0,7.0,4.0
PF239123,시카고 [서울],2024.06.07,2024.09.29,28,"최정원, 윤공주, 정선아, 아이비, 티파니 영, 민경아, 박건형 등", ,2시간 25분,만 13세 이상, ,"VIP석 160,000원, OP석 150,000원, R석 140,000원, S석 110,000원, A석 80,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF239123_240412_145134.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1123234'), ('위메프', 'https://ticket.wemakeprice.com/product/3000011918'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24005266'), ('신시컴퍼니', 'http://www.iseensee.com/Home/Perf/MakingDetail.aspx?IdPerf=1190')]",FC000011,디큐브링크아트센터 (디큐브씨어터),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF239123_240415_0814031.jpg'],10.0,8.0,3.0
PF239896,미오 프라텔로 [대학로],2024.05.21,2024.10.27,56,"박규원, 이진혁, 박상혁, 성연, 김찬종, 박준형, 김이담 등","노재환, 박정인, 송은도 등",1시간 40분,만 13세 이상,(주)콘텐츠플래닝,"R석 77,000원, S석 55,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF239896_240807_142442.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1151567'), ('예스24', 'http://ticket.yes24.com/Perf/49881'), ('위메프', 'https://ticket.wemakeprice.com/product/3000011915'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24005912'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=77887'), ('페이북', 'https://paybooc.co.kr/app/paybooc/Culture.do?mFocus=Culture&returnURL=https://ticket.paybooc.co.kr:447/Play/PlayDetail?playNum=70933')]",FC003244,링크아트센터 (벅스홀),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF239896_240801_0119521.jpg'],6.0,9.0,2.0
PF243362,접변 [대학로],2024.07.20,2024.09.22,21,"임찬민, 송지온, 정우연, 양서윤, 전해주, 전하영, 윤정섭 등","이기쁨, 한곤, 최종혁 등",1시간 40분,만 13세 이상,"네버엔딩플레이(N.E.P Contents), 포커스테이지","R석 66,000원, S석 55,000원, A석 44,000원, 시야제한석 20,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243362_240620_093509.gif,"[('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008373'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=78026'), ('페이북', '-')]",FC000382,티오엠씨어터(구. 문화공간필링) (2관),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243362_240620_0935090.jpg'],5.0,10.0,1.0
